raw_entry,canonical_place,date_text,category,matched_existing_trip_ids,status,notes
"Mardi Gras, New Orleans 1999?","New Orleans, Louisiana","Around 1999","Unsorted","","Needs review","Mardi Gras trip; year is approximate"
"Cancun 200?","Cancún, Quintana Roo, Mexico","2000s; exact year unknown","Unsorted","","Needs review","May represent more than one visit"
"Galveston island","Galveston Island, Texas","","Unsorted","","Needs review",""
"Key West","Key West, Florida","","Unsorted","","Needs review","Could be a cruise port or a standalone trip"
"New York","New York City, New York","","Unsorted","","Needs review",""
"Magnolia Waco TX","Magnolia Market, Waco, Texas","","Unsorted","","Needs review",""
"Ole red Tishamingo OK","Ole Red, Tishomingo, Oklahoma","","Unsorted","","Needs review","Spelling normalized from the original list"
"Lake Eufaula","Lake Eufaula, Oklahoma","","Unsorted","","Needs review",""
"Las Vegas 2001","Las Vegas, Nevada","2001","Standalone trip","58","Matched","Marriage trip; existing record says February 21–25 with wedding on February 23"
"Las Vegas 20","Las Vegas, Nevada","Possibly 2020","Standalone trip","","Needs review","Original entry appears to identify a second Las Vegas visit"
"Destin FL","Destin, Florida","","Unsorted","23","Possible match","Existing photo-derived record is Okaloosa County on May 31, 2016"
"San Antonio, Texas","San Antonio, Texas","","Unsorted","18","Possible match","Existing photo-derived record is June 18, 2009"
"Branson, MO","Branson, Missouri","","Unsorted","20","Possible match","Existing photo-derived record is March 22, 2013"
"Galapilose OH","Gallipolis, Ohio","August 4, 2005","Road trip destination","65","Confirmed by user","A second road trip from Tecumseh to Gallipolis"
"St. Louis","Gateway Arch, St. Louis, Missouri","July 30, 2004","Road trip stop","","Confirmed by user","Part of the Tecumseh-to-Gallipolis road trip"
"Giant Santa photo","Busler's Truck Stop Giant Santa, Haubstadt, Indiana","July 31, 2004","Road trip stop","","Confirmed by user","Former truck stop just south of I-64 and US 41 near Evansville; photographed during the Tecumseh-to-Gallipolis road trip"
"London, England 2019","London, England","2019","Standalone trip","13;16;33","Possible match","Existing records span December 30, 2019–January 2, 2020 and include duplicates"
"Savannah Ga","Savannah, Georgia","","Unsorted","","Needs review",""
"Lake Tahoe","Lake Tahoe, California/Nevada","","Unsorted","","Needs review","State and date unknown"
"South Carolina","South Carolina","","Unsorted","37","Possible match","Existing photo-derived record is West Columbia on April 10, 2021; may not represent the whole trip"
"North Carolina","North Carolina","","Unsorted","","Needs review","City or region unknown"
"Grand Canyon","Grand Canyon, Arizona","","Unsorted","19","Possible match","Existing photo-derived record is Mohave County on February 25, 2011"
"Jamaica","Jamaica","","Cruise or resort","56;57","Possible match","Existing Montego Bay 2019 and Negril 2021 records may be separate trips"
"Puerto Vallarta","Puerto Vallarta, Jalisco, Mexico","May 31, 2018","Cruise stop","26","Matched","Part of the 2018 Mexican Riviera cruise"
"Roatan Honduras","Roatán, Bay Islands, Honduras","","Cruise stop","","Needs review",""
"Cayman Islands","Cayman Islands","","Cruise stop","","Needs review",""
"Victoria BC","Victoria, British Columbia, Canada","","Cruise stop","","Needs review","Likely part of an Alaska cruise"
"Alaska","Alaska","","Cruise region","","Needs review","Likely one journey containing multiple ports"
"Seattle Washington 2026","Seattle, Washington","2026","Cruise gateway","","Needs review","Future or planned Alaska-cruise-related travel; confirm status"
"Miami","Miami, Florida","","Cruise gateway","","Needs review","Could be a pre- or post-cruise stop"
"Disney world","Walt Disney World, Orlando, Florida","","Standalone trip","","Needs review",""
